Column1,Column2,Column3,Column4,Column5,Country,Column6
Project Control Assistant,High Speed Two (HS2),Birmingham,50-55,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
2018 University Graduates (U.K.) - Project Controls (Estimat...,Bechtel,Birmingham,50-55,"No. of Openings:1
Position Closing Date:
Bechtel has a long tradition of technical and engineering excellence in supporting multiple industries. Our engineers use their ideas and ingenuity to create innovative, practical, and cost-effective solutions for our customers.

Project Controls Engineers prepare project estimating, scheduling & controlling, and detailed staffing utilization plans for projects. They assist in preparing cost/schedule data for proposals or contract negotiations. They also monitor contractor schedule and identify any variances to associated cost and schedule.

The total number of Project Control hires and start dates are subject to workload and business conditions. Locations will vary based on project needs at various project sites.

General Job Duties
Project Control Engineers are generally responsible for:
Quickly understanding the fundamental work processes used in Design and Construction;
supporting the development of estimates and budgets;
supporting the development of plans and schedules;
tracking performance against the budgets and schedules while correlating performance information against the work processes;
analyzing variances of both direct hire and contract hire work activities;
identifying trends where deviations are about to occur unless action is taken;
preparing content for project and construction status reports; and
identifying potential scope changes.
Basic Qualifications
Bachelors of Science degree in any discipline within Engineering, Business Administration, Construction Management, or Business Management from an accredited college or University within twelve (12) months of graduation date
Ability and willingness to relocate and/or travel to domestic and/or international project jobsites
Applications must be complete by the 25th October 2018 to start asap this year
Shaping tomorrow together
Bechtel is among the most respected engineering, project management, and construction companies in the world. We stand apart for our ability to get the job done right—no matter how big, how complex, or how remote. Bechtel operates through four global business units that specialize in infrastructure; mining and metals; nuclear, security and environmental; and oil, gas, and chemicals. Since its founding in 1898, Bechtel has worked on more than 25,000 projects in 160 countries on all seven continents. Today, our 53,000 colleagues team with customers, partners, and suppliers on diverse projects in nearly 40 countries.
Bechtel is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
Posting notes: || graduate ||",UK,/rc/clk?jk=794c9fea776c6dbd&fccid=40dab2048c41a718&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,50-55,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
2018 University Graduates (U.K.) - Project Controls (Estimat...,Bechtel,Birmingham,50-55,"No. of Openings:1
Position Closing Date:
Bechtel has a long tradition of technical and engineering excellence in supporting multiple industries. Our engineers use their ideas and ingenuity to create innovative, practical, and cost-effective solutions for our customers.

Project Controls Engineers prepare project estimating, scheduling & controlling, and detailed staffing utilization plans for projects. They assist in preparing cost/schedule data for proposals or contract negotiations. They also monitor contractor schedule and identify any variances to associated cost and schedule.

The total number of Project Control hires and start dates are subject to workload and business conditions. Locations will vary based on project needs at various project sites.

General Job Duties
Project Control Engineers are generally responsible for:
Quickly understanding the fundamental work processes used in Design and Construction;
supporting the development of estimates and budgets;
supporting the development of plans and schedules;
tracking performance against the budgets and schedules while correlating performance information against the work processes;
analyzing variances of both direct hire and contract hire work activities;
identifying trends where deviations are about to occur unless action is taken;
preparing content for project and construction status reports; and
identifying potential scope changes.
Basic Qualifications
Bachelors of Science degree in any discipline within Engineering, Business Administration, Construction Management, or Business Management from an accredited college or University within twelve (12) months of graduation date
Ability and willingness to relocate and/or travel to domestic and/or international project jobsites
Applications must be complete by the 25th October 2018 to start asap this year
Shaping tomorrow together
Bechtel is among the most respected engineering, project management, and construction companies in the world. We stand apart for our ability to get the job done right—no matter how big, how complex, or how remote. Bechtel operates through four global business units that specialize in infrastructure; mining and metals; nuclear, security and environmental; and oil, gas, and chemicals. Since its founding in 1898, Bechtel has worked on more than 25,000 projects in 160 countries on all seven continents. Today, our 53,000 colleagues team with customers, partners, and suppliers on diverse projects in nearly 40 countries.
Bechtel is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.
Posting notes: || graduate ||",UK,/rc/clk?jk=794c9fea776c6dbd&fccid=40dab2048c41a718&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,50-55,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
Project Control Assistant,High Speed Two (HS2),Birmingham,40-45,"As a Project Control Assistant at HS2 you will assist the Leads for Schedule, Cost, Risk and Assurance and Governance in carrying out their individual and collective responsibilities; being an interface between various teams comprising Land and Property Project Controls; and support internal stakeholder management, coordination of activities and reporting.


About the role:
Maintain risk and issue registers, liaising with colleagues to ensure accurate and timely updates; manage mitigation actions as delegated by the Risk and Assurance Manager
Manage the change process, working with colleagues to ensure the impacts are understood and governance criteria met
Support in the development of programme plans, schedules and trackers; working with the programme manager in monitoring progress and carrying out scenario testing
Coordinate workshops and the transfer of information between teams to ensure that delivery requirements are understood
Provide routine reporting for specific parts of the programme, discreet projects or work streams; developing templates and drafting regular updates
Develop papers and presentations under direction from the programme manager in order to seek decisions and communicate key messages to internal and external stakeholders
Undertake assurance activities as directed by the Risk Assurance Manager
Undertake governance activities as directed by the Governance Manager
Manage specific interfaces and relationships with cross directorate and supply chain stakeholders.


Qualifications

About You:
Experience of coordinating project deliverables across teams and departments Experience within a project / programme environment; leading work streams, small projects or operating in a PMO environment
Experience of working with data and information in order to identify and understand trends, risks and issues
Experience of developing programme plans and trackers and subsequently maintaining them to monitor progress
Knowledge of project and programme management methods and approaches
Ability (training will be provided) to use planning software such as MS Project / Primavera P6
An ability to apply project and programme management techniques
Communication skills including liaising with teams and managers across the organisation
Presentation skills including presenting technical information to non-technical audiences
Influencing and negotiating skills including preparation of reports and updates highlighting key messages and issues for decision.
It is expected that you will actively promote and embed Equality, Diversity and Inclusion (EDI) in all your work and support and comply with all organisational initiatives, policies and procedures on EDI.
About Us:
High Speed 2 (HS2) will be the UK’s new high speed rail network. As well as improving capacity, the new scheme will shorten journey times between a number of Britain’s major population centres, boost the economy and create thousands of jobs.
HS2 Ltd is a safety critical organisation with safety being one of our core values. Employees are required to ensure reasonable care of their own and others’ health and safety by taking personal responsibility for working to the HS2 ‘Safe at Heart’ programme principles and following safe working procedures at all times.",UK,/rc/clk?jk=d7cb13e72073ffc0&fccid=ffb21d420c35ba19&vjs=3
